Kabupaten/Kota,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,jml_penduduk,pddk_laki,pddk_pr,luas_hutan,irigasi,nonirigasi,pddk_bekerja,df_air_bersih,NDVI,kelas_ndvi,bulan,tahun,Prediksi_Risiko_Model
Kabupaten Bangkalan,24.2194443787251,30.88114089958608,27.52063702900325,85.81571000603185,403.4837141747197,3.5690567916110125,5.259700518070735,275.9719815467316,2.034885978144385,NW,970894.0,463789.0,507105.0,3818.0,8049.0,21491.0,460988.0,85.06,0.5374263412450953,2,1,2017,2
Kabupaten Bangkalan,24.61249619084005,30.302242511940488,27.23269740374882,85.32855404725389,346.2261865376642,3.521667283453548,5.684471731828536,249.29242116467947,2.3254103331064733,NW,970894.0,463789.0,507105.0,3818.0,8188.902777777777,22198.569444444445,460988.0,85.06,0.5374263412450953,2,2,2017,2
Kabupaten Bangkalan,24.6877361577916,31.35020904361186,27.73949417760493,85.04848029357329,234.67429248843297,5.051748384346632,4.609967641566947,209.45429166944024,1.415698109349786,N ,970894.0,463789.0,507105.0,3818.0,8328.805555555555,22906.13888888889,460988.0,85.06,0.5374263412450953,2,3,2017,2
Kabupaten Bangkalan,24.831440438834235,31.534657733439232,28.099153129401355,84.5868699179762,149.85799012708796,5.939767278649263,4.308097850520812,177.09904307320335,1.1160087841801087,N ,970894.0,463789.0,507105.0,3818.0,8468.708333333334,23613.70833333333,460988.0,85.06,0.5374263412450953,2,4,2017,2
Kabupaten Bangkalan,25.189546593407755,31.590043022003453,28.71679967121759,79.34381126793276,88.12727272727275,6.539866268046644,4.957342220363409,127.755999562583,2.4669679381069614,E ,970894.0,463789.0,507105.0,3818.0,8608.611111111111,24321.277777777777,460988.0,85.06,0.5374263412450953,2,5,2017,2
Kabupaten Bangkalan,25.22791122743944,30.73359964075948,28.10243234252837,80.89915837713181,101.23548271982398,6.130642193498739,5.131839110149873,100.28674059307068,2.446431512533821,E ,970894.0,463789.0,507105.0,3818.0,8748.513888888889,25028.847222222223,460988.0,85.06,0.5374263412450953,2,6,2017,2
Kabupaten Bangkalan,25.255041708604605,30.79268737684601,27.467334232949742,78.13236012754494,39.1297307768944,7.085054196022384,5.352695450941207,127.41518835334648,2.785135986832384,E ,970894.0,463789.0,507105.0,3818.0,8888.416666666666,25736.416666666668,460988.0,85.06,0.5374263412450953,2,7,2017,2
Kabupaten Bangkalan,25.94335703878177,30.983973040720272,27.4550383181994,74.06534017794934,1.1783537459484437,8.524105004193254,5.350089342516063,120.117302052786,2.677528309675421,E ,970894.0,463789.0,507105.0,3818.0,9028.319444444443,26443.98611111111,460988.0,85.06,0.5003792432866799,2,8,2017,2
Kabupaten Bangkalan,25.97872121013679,31.730153777988857,27.796002876795377,74.23030303030302,19.678640970218385,8.52861293849342,5.545923720556772,108.57078430250732,2.690105743871701,E ,970894.0,463789.0,507105.0,3818.0,9168.222222222224,27151.555555555555,460988.0,85.06,0.4645272130043425,2,9,2017,2
Kabupaten Bangkalan,25.92705164833672,32.65379362370948,29.39341446041022,74.97152979980514,73.99090909090908,8.205240739638137,4.61891942556349,140.93778931756296,1.821760134082096,N ,970894.0,463789.0,507105.0,3818.0,9308.125,27859.125,460988.0,85.06,0.4274801150459271,2,10,2017,2
Kabupaten Bangkalan,25.166162385055586,31.12499729913733,28.040341075633485,83.31127476382099,341.5265595444766,2.9829316741399947,4.457136784676189,153.7995278224726,1.2121589647101247,N ,970894.0,463789.0,507105.0,3818.0,9448.027777777776,28566.694444444445,460988.0,85.06,0.3916280847635897,1,11,2017,1
Kabupaten Bangkalan,25.12131393986944,31.235793330338545,28.036041185744686,83.73263925821126,422.30976000404365,4.46258898182184,5.310482181825479,219.69290747222945,2.0301191974037924,NW,970894.0,463789.0,507105.0,3818.0,9587.930555555557,29274.26388888889,460988.0,85.06,0.3545809868051744,1,12,2017,1
Kabupaten Bangkalan,24.65742046829614,30.162139172862013,27.250767940993967,85.32557551659862,359.63636363636374,2.395382165506388,5.89026408127535,224.1974063036176,2.3497447334435813,NW,978892.0,467728.0,511164.0,3818.0,9727.833333333334,29981.833333333336,479023.0,92.83,0.317533888846759,1,1,2018,1
Kabupaten Bangkalan,24.770108020092948,30.409941065487462,27.3023422132018,85.31794355232347,338.20723955811013,4.132567153823634,5.4934882205788105,198.09784378658395,2.226152387963958,NW,978892.0,467728.0,511164.0,3818.0,9867.736111111111,30689.402777777777,479023.0,92.83,0.2840719939165775,1,2,2018,1
Kabupaten Bangkalan,24.69729623741272,31.04821591786137,27.746020260818483,85.20202363635023,263.3791232330508,5.234823877686304,4.36432663724722,170.77602290199587,1.4796072740215742,N ,978892.0,467728.0,511164.0,3818.0,10007.638888888889,31396.972222222223,479023.0,92.83,0.2470248959581621,1,3,2018,2
Kabupaten Bangkalan,26.06240615369975,32.23321552736218,29.03838136524336,79.91164883691692,105.2,7.631923868432142,4.575064365123109,127.68530393497451,1.6918813562179011,E ,978892.0,467728.0,511164.0,3818.0,10147.541666666666,32104.541666666664,479023.0,92.83,0.5779966377468196,2,4,2018,2
Kabupaten Bangkalan,26.746106816129725,31.856990699106674,29.086922877523307,76.72608927888483,27.6454545454545,7.8402540939521534,5.393389498860508,111.44586476917806,2.372377893393279,E ,978892.0,467728.0,511164.0,3818.0,10287.444444444443,32812.11111111111,479023.0,92.83,0.4995506466604483,2,5,2018,2
Kabupaten Bangkalan,26.03456034238952,31.66545065617297,28.26152813893075,77.28295171844444,42.09044903666006,7.609382689732095,4.736192104435137,112.49157275354736,2.343993004977264,E ,978892.0,467728.0,511164.0,3818.0,10427.347222222224,33519.680555555555,479023.0,92.83,0.4929647910642435,2,6,2018,2
Kabupaten Bangkalan,25.68468035985516,30.44070233646732,27.3777533321544,74.08673914091835,4.265667606502344,8.55168716238931,4.852395104953892,117.04227642998111,2.4917486654844336,E ,978892.0,467728.0,511164.0,3818.0,10567.25,34227.25,479023.0,92.83,0.4861594069481654,2,7,2018,2
Kabupaten Bangkalan,25.655789895919927,31.02555605288457,27.282440965343927,72.63205070350168,10.098290486921352,8.478731590965591,5.377709938037395,117.43967704282946,2.755557301816137,E ,978892.0,467728.0,511164.0,3818.0,10707.152777777776,34934.819444444445,479023.0,92.83,0.5094802110021251,2,8,2018,2
Kabupaten Bangkalan,25.578372218789667,31.7814466849522,28.045307643482147,68.98602819806914,17.27620473814723,8.353535237081514,5.75849537575506,126.21901919238414,2.6351981323305536,E ,978892.0,467728.0,511164.0,3818.0,10847.055555555557,35642.38888888889,479023.0,92.83,0.5320487310543442,2,9,2018,2
Kabupaten Bangkalan,25.872875783942177,32.85370715181934,29.36839734606831,69.10850439882704,15.691394854123374,8.99586702942745,5.181962458688869,111.50733137829916,2.2700456124115584,E ,978892.0,467728.0,511164.0,3818.0,10986.958333333332,36349.958333333336,479023.0,92.83,0.5553695351083039,2,10,2018,2
