Kabupaten/Kota,MSE,RMSE,MAE,MAPE (%),SMAPE (%)
Kabupaten Bangkalan,0.014616288487135372,0.12089784318644965,0.07995049358068974,18.505918466313346,21.439701261024243
Kabupaten Banyuwangi,0.007976224180524091,0.08930970932952415,0.07751034137351868,24.082918458237604,28.139488835960343
Kabupaten Blitar,0.008249078105919827,0.09082443562125683,0.0787914545575603,23.95992657465118,26.71036158009373
Kabupaten Bojonegoro,0.009059055604147924,0.09517907125071101,0.07694044556227668,18.937148832901254,19.84436795455434
Kabupaten Bondowoso,0.012341450352291653,0.11109208051113119,0.08467832835225635,24.490761655199044,22.821452221202495
Kabupaten Gresik,0.004755986224278292,0.06896365872166509,0.05711580143922498,27.184643222207466,24.51301126903677
Kabupaten Jember,0.014515847510129583,0.12048173102229891,0.11091183167229994,28.322659705767233,33.070779116205436
Kabupaten Jombang,0.013163415873459825,0.11473193048781069,0.10280151351098328,26.423766239424403,28.345820025395284
Kabupaten Kediri,0.011344222970436323,0.1065092623692246,0.08167839747168938,18.64281094414945,21.058045389001844
Kabupaten Lamongan,0.012325679194158183,0.11102107545037647,0.09570606556230125,40.40494686174358,32.028562877749636
Kabupaten Lumajang,0.005539213633635999,0.07442589356961728,0.06085674153134176,20.901466222446544,17.97922657499387
Kabupaten Madiun,0.014510748682168883,0.12046056899321406,0.10013044791589881,23.25282706788899,24.788163334138048
Kabupaten Magetan,0.013103265171348704,0.11446949450114953,0.1044066899821549,30.734524608649984,27.487091125090306
Kabupaten Malang,0.0044802014001286096,0.06693430660079037,0.04801545885918778,13.344851833950703,15.151533361386205
Kabupaten Mojokerto,0.004899160888652404,0.06999400609089612,0.05734205782552756,21.640030650174293,20.285600014534495
Kabupaten Nganjuk,0.01820345502345818,0.13492018019354324,0.10978286962499595,24.190997133872578,28.00389495341048
Kabupaten Ngawi,0.014491933835459742,0.1203824482034642,0.09360489895461664,20.67494967434157,22.17962933157486
Kabupaten Pacitan,0.014827059709865602,0.12176641453974738,0.10018568779795022,32.67331054252784,33.38060386718858
Kabupaten Pamekasan,0.007544460003895381,0.0868588510394616,0.07788078747855535,24.504957108356795,26.388839349264952
Kabupaten Pasuruan,0.006081250200088041,0.07798237108531672,0.06771618758820451,22.715723622283544,19.983161261331286
Kabupaten Ponorogo,0.03150116725310983,0.17748568182563298,0.1392544647136217,34.7493282896074,46.46218961764319
Kabupaten Probolinggo,0.011622411755685602,0.10780728990047751,0.08667975742944044,32.7286834738987,25.549686249582997
Kabupaten Sampang,0.013585791531342312,0.11655810367084012,0.09568814827665047,26.233525001226564,30.1789872578223
Kabupaten Sidoarjo,0.007077372448346289,0.08412712076581659,0.07513426312737138,31.791934520315962,30.735488682313356
Kabupaten Situbondo,0.015393375755262643,0.124070043746517,0.10445125511588982,30.437320597393263,28.68402097308956
Kabupaten Sumenep,0.006709525534823939,0.0819116935170061,0.06259052070251328,18.16471620223991,21.18254391220117
Kabupaten Trenggalek,0.003445422763998604,0.05869772366965012,0.044014821611656235,18.961454955012016,22.077807773910273
Kabupaten Tuban,0.01665911841035755,0.12907020729183613,0.10558106177234801,30.741347238074606,34.612814469711736
Kabupaten Tulungagung,0.007515859938884731,0.08669405942095877,0.06846439460681071,25.530678470318552,30.71151294110626
Kota Batu,0.013914073615212871,0.11795793154855197,0.09202054853005902,57.03861411263448,46.80466870106404
Kota Blitar,0.009350589759025396,0.09669844755230249,0.08347366813443764,60.31741081528963,44.90609480869953
Kota Kediri,0.008653272330990574,0.09302296668560175,0.07302353569290986,18.09275251577722,20.53749376520321
Kota Madiun,0.009737156067779359,0.09867702907860247,0.08691250635321228,31.86691374073976,30.769828250370413
Kota Malang,0.001636283465477158,0.04045100079697853,0.029057037950571102,11.879751440230983,12.612464733109139
Kota Mojokerto,0.006362521520551684,0.07976541556684628,0.06321443917228393,44.75002921490158,28.85662957092268
Kota Pasuruan,0.00521382735764724,0.07220683733308944,0.050346503555441034,22.749641983004867,17.570383977994076
Kota Probolinggo,0.007342628839549273,0.08568914073293811,0.07451243629391675,20.121162008616775,20.391009181459623
Kota Surabaya,0.003907120174801074,0.06250696101076322,0.05306805782359048,41.629647095467256,42.11427622299409
